app_name,score,label
Half-Life,0.9971922039985657,POSITIVE
Half-Life,0.9659196138381958,NEGATIVE
Half-Life,0.9789093732833862,NEGATIVE
Half-Life,0.9996449947357178,POSITIVE
Half-Life,0.9934157133102417,NEGATIVE
Half-Life,0.9556543827056885,NEGATIVE
Half-Life,0.9976586103439331,POSITIVE
Counter-Strike: Source,0.9009279608726501,POSITIVE
Counter-Strike: Source,0.9896867871284485,NEGATIVE
Counter-Strike: Source,0.9981592297554016,POSITIVE
Half-Life 2: Episode Two,0.675579845905304,NEGATIVE
Half-Life 2: Episode Two,0.9632298350334167,POSITIVE
Half-Life 2: Episode Two,0.9971469044685364,POSITIVE
Half-Life 2: Episode Two,0.9731883406639099,POSITIVE
Half-Life 2: Episode Two,0.9955753087997437,POSITIVE
Portal 2,0.9836913347244263,NEGATIVE
Portal 2,0.6421468257904053,POSITIVE
Portal 2,0.9997524619102478,POSITIVE
X Rebirth,0.9998120665550232,NEGATIVE
X Rebirth,0.9979279041290283,NEGATIVE
X Rebirth,0.9982902407646179,NEGATIVE
X Rebirth,0.990632176399231,NEGATIVE
X Rebirth,0.999340832233429,POSITIVE
X Rebirth,0.9963017702102661,POSITIVE
X Rebirth,0.9997910857200623,NEGATIVE
X Rebirth,0.7822815179824829,NEGATIVE
X Rebirth,0.9996633529663086,POSITIVE
X Rebirth,0.9804138541221619,NEGATIVE
X Rebirth,0.9724502563476562,NEGATIVE
X Rebirth,0.7481210231781006,POSITIVE
X Rebirth,0.8361501097679138,POSITIVE
X Rebirth,0.9997406601905823,NEGATIVE
X Rebirth,0.9783914685249329,NEGATIVE
X Rebirth,0.7481210231781006,POSITIVE
X Rebirth,0.9638747572898865,NEGATIVE
X Rebirth,0.9968146681785583,NEGATIVE
X Rebirth,0.7481210231781006,POSITIVE
X Rebirth,0.9986795783042908,NEGATIVE
X Rebirth,0.9992883801460266,NEGATIVE
X Rebirth,0.9987753033638,POSITIVE
X Rebirth,0.8739560842514038,POSITIVE
X Rebirth,0.9899236559867859,POSITIVE
X Rebirth,0.5072105526924133,POSITIVE
X Rebirth,0.9658064842224121,POSITIVE
X Rebirth,0.9988284707069397,NEGATIVE
X Rebirth,0.983868420124054,NEGATIVE
X Rebirth,0.7947413921356201,POSITIVE
X Rebirth,0.9997933506965637,NEGATIVE
X Rebirth,0.9922549724578857,NEGATIVE
X Rebirth,0.9940999150276184,NEGATIVE
X Rebirth,0.9942025542259216,NEGATIVE
X Rebirth,0.9967509508132935,NEGATIVE
X Rebirth,0.9980175495147705,NEGATIVE
X Rebirth,0.998842716217041,NEGATIVE
X Rebirth,0.7481210231781006,POSITIVE
X Rebirth,0.7634815573692322,POSITIVE
X Rebirth,0.8913571834564209,NEGATIVE
X Rebirth,0.9994195699691772,NEGATIVE
Garry's Mod,0.9982300400733948,NEGATIVE
X-Blades,0.9978688955307007,POSITIVE
X-Blades,0.8212129473686218,NEGATIVE
